,ACC
Clear.Brand,0.5
Message.Delivery,0.25806451612903225
Clear,0.4032258064516129
Understood,0.3870967741935484
Reputation,0.3225806451612903
Relevant,0.27419354838709675
See.Again,0.4032258064516129
Like,0.3870967741935484
Dislike,0.5483870967741935
Purchase,0.5161290322580645
Recommend,0.6129032258064516
Branding.Correct.Recall,0.45161290322580644
