Target,MSE,RMSE_validation,RMSE_test,R_squared_validation,R_squared_test
Clear.Brand,-0.9108280010687777,0.9400540056523727,0.970768226918551,-0.26684805764818453,0.2322132194914417
Message.Delivery,-1.2278583838421984,1.1035389554150208,0.9180615597148398,-0.35639832751465905,0.19498731944205572
Clear,-1.1535445204866037,1.0706793181320537,0.9337060495819106,-0.2685829874544544,0.18995434864214633
Understood,-0.8537345551428682,0.9199754770827251,0.8008018896139396,-0.05960390356721721,0.27055402419327945
Reputation,-1.525555197207029,1.216000859594541,0.9601082172269465,-0.8752810185364813,0.15043211100448173
Relevant,-1.0278870560962317,1.001280670655372,0.9230112930028137,-0.12482510883569028,0.2678591960550739
See.Again,-0.969532691702496,0.978145008822012,0.9186525490888513,-0.07473508496287458,0.23804855946663317
Like,-0.9929579344520466,0.9892087052913565,0.8975247804899721,-0.1257921714596918,0.2763094150315054
Dislike,-1.8358372346122351,1.333674677328797,0.9535705795646702,-1.0845821640044648,0.18055451712185222
Purchase,-1.6365867870195132,1.2455259713692075,1.004030324829242,-1.0234384235140799,0.04861226049093559
Recommend,-1.2811086215077414,1.12128590180006,0.8987153078284319,-0.3687108677330079,0.14549593515326653
Branding.Correct.Recall,-1.0943843143443819,1.023261052763104,0.8738791434759693,-0.15417715581760688,-0.03132866854427219
