,ACC
Clear.Brand,0.5679611650485437
Message.Delivery,0.3106796116504854
Clear,0.3058252427184466
Understood,0.4223300970873786
Reputation,0.3592233009708738
Relevant,0.3106796116504854
See.Again,0.33980582524271846
Like,0.3640776699029126
Dislike,0.616504854368932
Purchase,0.5631067961165048
Recommend,0.6359223300970874
Branding.Correct.Recall,0.4223300970873786
