ID,Brand,Country,Ad,First.Run,URL,Launch/Pre,ABX.ID,Campaign.Flight.1,Campaign.Flight.2,Campaign.Flight.3,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand,Clear.Brand,Message.Delivery,Clear,Understood,Reputation,Relevant,See.Again,Like,Dislike,Purchase,Recommend,Branding.Correct.Recall
15,Amazon Corporate,United States,Christine 60,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-laGjAs77OBAVtYHzMp7QSg5veqLhhqyZhOUlOpI%3D-XXSQJGEsOW4AVaqWKG4miw%3D%3D,Launch,7970919,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0.93 ,0.75 ,0.76 ,0.81 ,0.47 ,0.68 ,0.65 ,0.61 ,0.04 ,0.20 ,0.23 ,0.38 
16,Amazon Corporate,United States,Janelle 30,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-D0rMJc9XCMMyvxfLroLBI18MVpWfCeY1RHATHwI%3D-%2FhoqFojdpSuMSoVwNdQroQ%3D%3D,Launch,7970920,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.95 ,0.75 ,0.77 ,0.83 ,0.44 ,0.73 ,0.63 ,0.59 ,0.07 ,0.30 ,0.18 ,0.37 
17,Amazon Corporate,United States,Janelle 60,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-JR2SaOXckDAUAUcklZZ9uhMS2wXnG0%2B6Oa669y0%3D-wkdBBnw9QGyjzGmQYCk5xQ%3D%3D,Launch,7977550,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.96 ,0.83 ,0.85 ,0.85 ,0.50 ,0.81 ,0.68 ,0.64 ,0.05 ,0.31 ,0.16 ,0.54 
18,Amazon Corporate,United States,Ricardo 30,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-frrOf1mtHMc56JgaDgmOFdtRu6bqJY1ZPsvglnI%3D-Y6jnMoYlEqWT%2BdvJO7RRcg%3D%3D,Launch,7977551,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0.92 ,0.70 ,0.73 ,0.82 ,0.42 ,0.67 ,0.65 ,0.60 ,0.05 ,0.17 ,0.15 ,0.38 
19,Amazon Corporate,United States,Ricardo 60,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-JfJLhfjltnIFoD7VtQoW5i3brjJayWJmUNs%2F4I8%3D-K8xBY8o7jJevjSkVS2hhEA%3D%3D,Launch,7977552,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.95 ,0.80 ,0.82 ,0.89 ,0.54 ,0.79 ,0.75 ,0.67 ,0.01 ,0.23 ,0.17 ,0.45 
90,Amazon Alexa,Germany,Our language is great,2020-10-26,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-X3l81%2FR5fmxirLXhZy7wlsruvKo7pg9NpW1mQyI%3D-5mYRxp0G7FCCKZh65EL5hw%3D%3D,Launch,8015938,DE_ode to german_2020Q4,,,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.83 ,0.48 ,0.53 ,0.59 ,0.18 ,0.39 ,0.48 ,0.43 ,0.22 ,0.12 ,0.09 ,0.42 
20,Amazon Echo,Germany,Our language is great,2020-06-08,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-rDmHGbbESjIxQfApSBenvWlzbgjb0u2UckWJeh8%3D-csAQ%2Bq%2FJ50sN6TKLmf0ZIA%3D%3D,Launch,8015938,DE_ode to german_2020Q4,,,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0.83 ,0.48 ,0.53 ,0.59 ,0.18 ,0.39 ,0.48 ,0.43 ,0.22 ,0.12 ,0.09 ,0.42 
25,Amazon Corporate,United Kingdom,Area manager Helen,2020-06-16,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-MVV3CYm0dC99lDXbi8zyfDbpSl3yTQ%2FkfAY%2FKmc%3D-cuKvqMAp3jzD4rply%2FpjmQ%3D%3D,Launch,8029529,UK_this is amazon_2020Q3,,,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.95 ,0.74 ,0.78 ,0.85 ,0.43 ,0.70 ,0.58 ,0.57 ,0.06 ,0.20 ,0.16 ,0.50 
21,Amazon Corporate,United Kingdom,Area Manager Helen,2020-06-15,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-3IaDlkebYIDMaQQhSnAs9EQGHdlooi%2FkNQ%2BzxZs%3D-D%2Frie7Vz2bY13tGFozS85g%3D%3D,Launch,8029529,UK_this is amazon_2020Q3,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,5,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0.95 ,0.74 ,0.78 ,0.85 ,0.43 ,0.70 ,0.58 ,0.57 ,0.06 ,0.20 ,0.16 ,0.50 
23,Amazon Corporate,United Kingdom,Delivery associate Jamie,2020-06-16,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-JpGNsS%2F2fy6aFFUtt05qIxKM%2Bmy4%2B%2B3OJoPSILE%3D-9XC%2F9qNMMP%2BgETOoeFe6PA%3D%3D,Launch,8032979,UK_this is amazon_2020Q3,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.98 ,0.68 ,0.71 ,0.77 ,0.43 ,0.66 ,0.56 ,0.44 ,0.10 ,0.14 ,0.15 ,0.38 
